Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2015,NM,PF,NM:1,0,525,1311,0,0,160,10650,0,0,0,150,218,0,92,0,350,0,14976,355,0,0,1000,0,125,44,0,0,10,0,0,0,0,0,0
2015,NV,PF,NV:1,0,39098,2912,1,0,440,15642,3,0,0,2455,147,25,3585,0,454,0,16256,399,0,0,300,11204,12327,60,4597,0,38,0,273,0,0,182,35
2015,NV,PF,NV:2,0,210,35,0,0,50,1835,5,0,0,15,100,0,20,0,0,0,2494,135,0,0,15,0,25,125,50,0,95,0,27,0,0,0,0
2015,NV,PF,NV:3,0,4965,645,20,0,1085,860,3825,0,0,280,155,0,925,0,16,0,3365,125,0,0,70,300,235,65,555,0,10,0,101,0,0,0,0
2015,OR,PF,OR:1,0,754,12577,2,486,1221,101312,297,0,0,320,211,21,9813,0,4860,78,37122,317,0,0,46223,2271,18,1127,196,1475,26032,2005,3064,195,0,140,0
2015,OR,PF,OR:2,0,7017,3501,0,0,118,8884,51,0,0,271,176,1,41,0,3003,0,17320,64,0,0,836,64,10,215,0,0,2726,0,30,0,0,5,27
2015,OR,PF,OR:3,0,1590,8549,0,0,1338,11634,584,0,0,16980,158,3017,2126,0,0,0,9490,313,0,0,19922,20,2,194,825,0,1271,0,6044,544,0,0,0
2015,UT,PF,UT:1,0,2038,602,0,0,17,11407,4626,0,0,197,39460,0,2305,0,3,0,6267,309,0,0,5755,18554,242,50,1383,0,334,0,6707,0,0,3,2503
2015,UT,PF,UT:2,0,1988,761,0,0,2,1376,73,0,0,112,1,0,1809,0,0,0,10564,0,0,0,1491,329,56,96,25,0,16,0,82,0,0,0,100
2015,UT,PF,UT:3,0,7,327,2,0,0,5278,0,0,0,78,13,0,18,0,0,0,1587,9,0,0,0,2,201,71,0,0,0,0,28,0,0,0,0
2015,WA,PF,WA:1,0,12034,108380,4,10706,23510,21755,838,0,0,1909,9818,33,20537,1019,49003,872,117884,7705,0,0,94736,2119,39,7286,2484,394,23205,14799,18427,0,0,189,2820
2015,WA,PF,WA:2,0,56996,15060,0,0,454,13809,651,0,0,936,689,8,1740,0,3023,0,263544,1129,0,0,15089,2,722,1266,142,2,19405,0,496,26,0,31,0
2015,WM,PF,WM:Baja,0,0,0,0,44533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
